"Date","Portfolio",""
"05/01/2018","101,200.27",""
"06/01/2018","104,896.93",""
"05/02/2018","100,642.92",""
"07/02/2018","104,437.52",""
"05/03/2018","100,937.46",""
"07/03/2018","104,049.28",""
"05/04/2018","102,275.26",""
"06/04/2018","105,266.84",""
"07/04/2018","104,064.93",""
"06/05/2018","105,321.61",""
"07/05/2018","104,753.51",""
"06/06/2018","105,641.06",""
"07/06/2018","105,084.69",""
"05/07/2018","102,837.57",""
"06/07/2018","105,506.78",""
"10/07/2018","105,730.84",""
"11/07/2018","105,540.70",""
"12/07/2018","105,920.02",""
"13/07/2018","105,907.33",""
"16/07/2018","105,640.13",""
"17/07/2018","106,122.97",""
"18/07/2018","106,242.63",""
"19/07/2018","106,092.69",""
"20/07/2018","105,820.99",""
"23/07/2018","106,285.35",""
"24/07/2018","106,318.87",""
"25/07/2018","106,895.09",""
"26/07/2018","107,240.11",""
"27/07/2018","106,481.21",""
"30/07/2018","106,328.85",""
"31/07/2018","106,630.89",""
"01/08/2018","106,324.51",""
"02/08/2018","106,885.42",""
"03/08/2018","106,776.58",""
"05/08/2018","103,208.97",""
"06/08/2018","105,769.46",""
"06/08/2018","106,956.04",""
"07/08/2018","107,143.12",""
"08/08/2018","106,842.37",""
"09/08/2018","107,021.00",""
"05/09/2018","103,403.00",""
"07/09/2018","105,737.22",""
"04/10/2018","99,978.10",""
"","100,476.31",""
"","101,965.30",""
"","103,100.70",""
"","103,566.29",""
"","102,601.22",""
"","101,704.68",""
"","101,735.93",""
"","100,272.23",""
"","100,913.54",""
"","102,412.65",""
"","101,507.52",""
"","100,650.47",""
"05/10/2018","103,940.00",""
"04/11/2018","99,275.31",""
"05/11/2018","103,852.58",""
"04/12/2018","100,648.70",""
"","103,776.24",""
"","103,526.50",""
"","103,816.68",""
"","103,456.26",""
"","103,194.46",""
"","103,936.96",""
"","103,542.33",""
"","103,598.06",""
"","103,415.32",""
"","103,484.33",""
"","103,472.90",""
"","104,039.97",""
"","104,737.40",""
"","104,243.63",""
"06/11/2018","105,553.55",""
"06/12/2018","105,619.99",""
"","105,696.60",""
"","105,777.59",""
"","105,389.59",""
"","105,404.26",""
"","105,149.71",""
"","105,343.69",""
"","104,796.44",""
"","104,596.90",""
"","104,147.61",""
"","104,493.08",""
"","103,683.56",""
"","104,035.50",""
"","103,945.36",""
